Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
andrew gn,Premium,17,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
brian atwood,Premium,17,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
akris punto,Contemporary,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.1 phillip lim,Contemporary,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lela rose,Contemporary,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vivienne tam,Contemporary,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j brand jeans,Contemporary,16,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
rich and skinny,Contemporary,16,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
neiman marcus,Contemporary,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bogner,Contemporary,16,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
post card,Contemporary,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hogan,Contemporary,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carolina herrera,Luxury,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ralph lauren collection,Luxury,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
jimmy choo,Luxury,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
akris,Premium,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
proenza schouler,Premium,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
doo. ri,Contemporary,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thakoon,Contemporary,15,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
black halo,Contemporary,15,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
diane von furstenberg,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
elizabeth and james,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
rag & bone,Contemporary,15,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
johnny was,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
